941.17653E-3	507.05184E-12	941.17647E-3	-28.038938E-9	25.340388E-12	505.78797E-12	941.17647E-3	-28.031543E-9	26.155352E-12
958.82356E-3	505.16380E-12	958.82350E-3	-28.026598E-9	28.092030E-12	508.47099E-12	958.82350E-3	-28.022335E-9	27.921302E-12
976.47059E-3	505.00332E-12	976.47059E-3	-28.021711E-9	27.757397E-12	506.32121E-12	976.47059E-3	-28.015171E-9	27.173534E-12
994.11768E-3	504.22455E-12	994.11762E-3	-28.019997E-9	24.964022E-12	507.06817E-12	994.11762E-3	-28.006507E-9	26.106482E-12
1.0117648E+0	505.27138E-12	1.0117648E+0	-28.018095E-9	26.760393E-12	507.32496E-12	1.0117648E+0	-28.000098E-9	25.927850E-12
1.0294118E+0	506.01828E-12	1.0294118E+0	-28.012028E-9	24.075211E-12	509.03359E-12	1.0294118E+0	-27.992291E-9	25.606305E-12
1.0470588E+0	507.66336E-12	1.0470588E+0	-27.996752E-9	23.503362E-12	507.41544E-12	1.0470588E+0	-27.987550E-9	22.186565E-12
1.0647058E+0	505.59507E-12	1.0647058E+0	-27.984184E-9	20.302059E-12	506.63118E-12	1.0647058E+0	-27.978935E-9	20.994763E-12
1.0823530E+0	505.98808E-12	1.0823530E+0	-27.981583E-9	20.224499E-12	508.09290E-12	1.0823530E+0	-27.970488E-9	20.251880E-12
1.1000000E+0	506.21790E-12	1.1000000E+0	-27.977773E-9	18.967283E-12	509.61219E-12	1.1000000E+0	-27.968285E-9	17.102769E-12
1.1176472E+0	507.15793E-12	1.1176471E+0	-27.978121E-9	18.344271E-12	509.84211E-12	1.1176471E+0	-27.966832E-9	18.774426E-12
1.1352942E+0	508.75332E-12	1.1352941E+0	-27.972197E-9	17.847767E-12	508.75992E-12	1.1352941E+0	-27.965863E-9	16.995729E-12
1.1529412E+0	505.71730E-12	1.1529412E+0	-27.964035E-9	16.626834E-12	507.77316E-12	1.1529412E+0	-27.961297E-9	16.879711E-12
1.1705883E+0	505.46500E-12	1.1705883E+0	-27.960708E-9	16.939077E-12	508.79201E-12	1.1705883E+0	-27.948918E-9	17.061252E-12
1.1882353E+0	505.33344E-12	1.1882353E+0	-27.959826E-9	16.040671E-12	510.70542E-12	1.1882353E+0	-27.942523E-9	17.356023E-12
1.2058823E+0	506.29279E-12	1.2058823E+0	-27.957865E-9	17.467656E-12	508.85235E-12	1.2058823E+0	-27.942660E-9	16.071989E-12
1.2235295E+0	506.56568E-12	1.2235295E+0	-27.953989E-9	16.547373E-12	507.21838E-12	1.2235295E+0	-27.943228E-9	16.756914E-12
1.2411765E+0	506.01140E-12	1.2411765E+0	-27.942137E-9	18.619026E-12	507.35244E-12	1.2411765E+0	-27.941777E-9	18.551997E-12
1.2588236E+0	505.49548E-12	1.2588235E+0	-27.932645E-9	19.286987E-12	505.48249E-12	1.2588235E+0	-27.936743E-9	19.486163E-12
1.2764707E+0	504.94592E-12	1.2764705E+0	-27.930607E-9	20.631790E-12	505.13271E-12	1.2764705E+0	-27.928305E-9	20.881710E-12
1.2941177E+0	504.75607E-12	1.2941177E+0	-27.928602E-9	24.080968E-12	504.98516E-12	1.2941177E+0	-27.920308E-9	26.211606E-12
1.3117647E+0	504.76789E-12	1.3117647E+0	-27.928150E-9	26.435026E-12	506.89375E-12	1.3117647E+0	-27.913092E-9	26.319795E-12
1.3294117E+0	506.01562E-12	1.3294117E+0	-27.918063E-9	28.541549E-12	507.64520E-12	1.3294117E+0	-27.907410E-9	30.473818E-12
1.3470589E+0	505.90826E-12	1.3470588E+0	-27.902598E-9	32.634024E-12	505.51829E-12	1.3470588E+0	-27.902765E-9	30.686741E-12
1.3647059E+0	506.10899E-12	1.3647059E+0	-27.888841E-9	31.618100E-12	505.86813E-12	1.3647059E+0	-27.889458E-9	32.197554E-12
1.3823531E+0	505.60234E-12	1.3823529E+0	-27.878531E-9	30.940060E-12	508.12926E-12	1.3823529E+0	-27.875322E-9	30.978692E-12
1.4000001E+0	505.96322E-12	1.4000000E+0	-27.871597E-9	29.307938E-12	508.97914E-12	1.4000000E+0	-27.866257E-9	27.339488E-12
1.4176471E+0	505.16036E-12	1.4176470E+0	-27.871288E-9	25.161928E-12	510.86241E-12	1.4176470E+0	-27.859384E-9	26.131347E-12
1.4352942E+0	506.07935E-12	1.4352942E+0	-27.861951E-9	20.445376E-12	506.98001E-12	1.4352942E+0	-27.861235E-9	21.485173E-12
1.4529412E+0	505.27699E-12	1.4529412E+0	-27.855194E-9	20.280855E-12	506.92489E-12	1.4529412E+0	-27.854435E-9	18.738735E-12
1.4705882E+0	505.96477E-12	1.4705882E+0	-27.848690E-9	17.696152E-12	505.85591E-12	1.4705882E+0	-27.845230E-9	19.580507E-12
1.4882354E+0	505.86207E-12	1.4882352E+0	-27.841491E-9	14.570407E-12	507.86292E-12	1.4882352E+0	-27.833897E-9	15.231047E-12
1.5058824E+0	506.54664E-12	1.5058824E+0	-27.840514E-9	14.887020E-12	506.79494E-12	1.5058824E+0	-27.831737E-9	13.328932E-12
1.5235294E+0	506.89059E-12	1.5235294E+0	-27.840279E-9	12.741015E-12	509.21861E-12	1.5235294E+0	-27.833602E-9	14.479559E-12
1.5411766E+0	508.80877E-12	1.5411764E+0	-27.833536E-9	12.840508E-12	507.22093E-12	1.5411764E+0	-27.838714E-9	11.971608E-12
1.5588236E+0	507.82512E-12	1.5588236E+0	-27.829678E-9	11.604305E-12	506.37544E-12	1.5588236E+0	-27.833977E-9	12.494164E-12
1.5764706E+0	507.21849E-12	1.5764706E+0	-27.824559E-9	11.269031E-12	506.19797E-12	1.5764706E+0	-27.826573E-9	10.751536E-12
1.5941176E+0	506.23705E-12	1.5941176E+0	-27.822013E-9	12.105738E-12	506.23372E-12	1.5941176E+0	-27.819514E-9	12.058238E-12
1.6117648E+0	506.43045E-12	1.6117647E+0	-27.826994E-9	12.093952E-12	507.74540E-12	1.6117647E+0	-27.815318E-9	11.986292E-12
1.6294118E+0	507.71692E-12	1.6294118E+0	-27.825283E-9	11.271024E-12	507.85048E-12	1.6294118E+0	-27.819858E-9	10.831259E-12
1.6470588E+0	508.05704E-12	1.6470588E+0	-27.819500E-9	11.273972E-12	506.35907E-12	1.6470588E+0	-27.821635E-9	12.678501E-12
1.6647060E+0	508.92679E-12	1.6647059E+0	-27.811689E-9	11.497832E-12	507.02925E-12	1.6647059E+0	-27.814798E-9	11.121806E-12
1.6823530E+0	505.25079E-12	1.6823529E+0	-27.804283E-9	11.361348E-12	507.53257E-12	1.6823529E+0	-27.808557E-9	12.111277E-12
1.7000000E+0	505.81545E-12	1.7000000E+0	-27.805836E-9	11.589530E-12	505.82988E-12	1.7000000E+0	-27.805081E-9	11.942827E-12
1.7176471E+0	508.33465E-12	1.7176471E+0	-27.808507E-9	11.901068E-12	505.61466E-12	1.7176471E+0	-27.807419E-9	12.991025E-12
1.7352942E+0	505.30702E-12	1.7352941E+0	-27.811289E-9	13.415698E-12	506.13869E-12	1.7352941E+0	-27.807719E-9	11.348169E-12
1.7529413E+0	506.44333E-12	1.7529411E+0	-27.808282E-9	12.553776E-12	505.73079E-12	1.7529411E+0	-27.805438E-9	12.650735E-12
1.7705883E+0	507.53385E-12	1.7705883E+0	-27.794881E-9	12.824042E-12	506.36867E-12	1.7705883E+0	-27.800303E-9	13.094979E-12
1.7882353E+0	505.11367E-12	1.7882353E+0	-27.789099E-9	13.546305E-12	506.71045E-12	1.7882353E+0	-27.791943E-9	13.100028E-12
1.8058825E+0	505.32989E-12	1.8058823E+0	-27.790028E-9	12.783309E-12	507.74490E-12	1.8058823E+0	-27.787841E-9	12.265646E-12
1.8235295E+0	505.88772E-12	1.8235294E+0	-27.790545E-9	12.247444E-12	506.38416E-12	1.8235294E+0	-27.788646E-9	13.676817E-12
1.8411765E+0	505.19511E-12	1.8411765E+0	-27.791922E-9	13.739390E-12	507.42183E-12	1.8411765E+0	-27.788563E-9	13.433803E-12
1.8588235E+0	506.78006E-12	1.8588235E+0	-27.785839E-9	12.737945E-12	506.85439E-12	1.8588235E+0	-27.789531E-9	12.592169E-12
1.8764707E+0	507.26801E-12	1.8764706E+0	-27.774837E-9	13.653722E-12	505.18184E-12	1.8764706E+0	-27.786156E-9	13.705264E-12
1.8941177E+0	504.52842E-12	1.8941176E+0	-27.774583E-9	12.371719E-12	504.98450E-12	1.8941176E+0	-27.776496E-9	13.562761E-12
1.9117647E+0	505.25661E-12	1.9117647E+0	-27.775615E-9	12.792394E-12	505.16408E-12	1.9117647E+0	-27.770835E-9	11.912100E-12
1.9294119E+0	505.62254E-12	1.9294118E+0	-27.774748E-9	13.399562E-12	507.63860E-12	1.9294118E+0	-27.767458E-9	13.587451E-12
1.9470589E+0	506.09666E-12	1.9470588E+0	-27.771245E-9	13.195239E-12	507.28055E-12	1.9470588E+0	-27.770948E-9	13.474921E-12
1.9647059E+0	506.04554E-12	1.9647058E+0	-27.761351E-9	13.397497E-12	506.92656E-12	1.9647058E+0	-27.773346E-9	14.437022E-12
1.9823530E+0	506.15873E-12	1.9823530E+0	-27.750072E-9	14.477390E-12	506.11992E-12	1.9823530E+0	-27.766491E-9	14.088602E-12
2.0000000E+0	505.43997E-12	2.0000000E+0	-27.752483E-9	14.392942E-12	508.32311E-12	2.0000000E+0	-27.754922E-9	13.703081E-12
2.0176473E+0	506.60737E-12	2.0176470E+0	-27.752693E-9	13.275271E-12	507.39946E-12	2.0176470E+0	-27.749179E-9	14.344564E-12
2.0352941E+0	507.83877E-12	2.0352941E+0	-27.755288E-9	15.122851E-12	506.79572E-12	2.0352941E+0	-27.749165E-9	14.907681E-12
2.0529413E+0	508.07586E-12	2.0529411E+0	-27.749682E-9	14.575145E-12	506.85772E-12	2.0529411E+0	-27.753760E-9	13.599560E-12
2.0705884E+0	507.03070E-12	2.0705884E+0	-27.738187E-9	14.015062E-12	506.01856E-12	2.0705884E+0	-27.753936E-9	15.760372E-12
2.0882354E+0	505.97837E-12	2.0882354E+0	-27.730415E-9	14.981070E-12	506.18620E-12	2.0882354E+0	-27.743775E-9	14.109472E-12
2.1058824E+0	506.37067E-12	2.1058824E+0	-27.727312E-9	14.813133E-12	506.37250E-12	2.1058824E+0	-27.734396E-9	15.438054E-12
2.1235294E+0	505.44596E-12	2.1235294E+0	-27.728676E-9	14.415230E-12	506.14996E-12	2.1235294E+0	-27.728744E-9	14.987959E-12
2.1411767E+0	506.53060E-12	2.1411765E+0	-27.730941E-9	14.617002E-12	506.50095E-12	2.1411765E+0	-27.729994E-9	14.312935E-12
2.1588235E+0	507.31869E-12	2.1588235E+0	-27.724411E-9	15.848082E-12	506.16150E-12	2.1588235E+0	-27.734011E-9	14.197682E-12
2.1764708E+0	505.90115E-12	2.1764705E+0	-27.715636E-9	14.750558E-12	506.24044E-12	2.1764705E+0	-27.730419E-9	16.292004E-12
2.1941178E+0	505.91420E-12	2.1941175E+0	-27.710849E-9	15.532403E-12	505.02902E-12	2.1941175E+0	-27.721557E-9	15.924135E-12
2.2117648E+0	506.03804E-12	2.2117648E+0	-27.707145E-9	15.890310E-12	506.88376E-12	2.2117648E+0	-27.709167E-9	15.587620E-12
2.2294118E+0	505.28653E-12	2.2294118E+0	-27.706564E-9	15.643277E-12	506.48807E-12	2.2294118E+0	-27.705806E-9	16.668479E-12
2.2470589E+0	505.51696E-12	2.2470589E+0	-27.704175E-9	14.998031E-12	508.06803E-12	2.2470589E+0	-27.706523E-9	16.394497E-12
2.2647061E+0	506.37400E-12	2.2647059E+0	-27.694096E-9	16.109527E-12	507.72819E-12	2.2647059E+0	-27.707610E-9	16.168837E-12
2.2823529E+0	507.86736E-12	2.2823529E+0	-27.686111E-9	16.604031E-12	509.22050E-12	2.2823529E+0	-27.700120E-9	16.541454E-12
2.3000002E+0	507.39729E-12	2.3000000E+0	-27.683956E-9	16.883432E-12	506.65117E-12	2.3000000E+0	-27.693178E-9	16.863387E-12
2.3176470E+0	507.09159E-12	2.3176470E+0	-27.680963E-9	18.031637E-12	507.09709E-12	2.3176470E+0	-27.683679E-9	17.985705E-12
2.3352942E+0	506.10283E-12	2.3352940E+0	-27.680068E-9	16.281495E-12	506.28118E-12	2.3352940E+0	-27.680311E-9	18.005823E-12
2.3529413E+0	508.21164E-12	2.3529413E+0	-27.674748E-9	19.033381E-12	506.23344E-12	2.3529413E+0	-27.683361E-9	18.061982E-12
2.3705883E+0	509.81691E-12	2.3705883E+0	-27.663248E-9	18.095490E-12	507.59158E-12	2.3705883E+0	-27.680574E-9	19.016023E-12
2.3882353E+0	510.78491E-12	2.3882353E+0	-27.655135E-9	18.534866E-12	509.37987E-12	2.3882353E+0	-27.672304E-9	19.416821E-12
2.4058824E+0	509.84467E-12	2.4058824E+0	-27.647379E-9	21.296765E-12	507.62916E-12	2.4058824E+0	-27.664038E-9	18.607312E-12
2.4235296E+0	507.48161E-12	2.4235294E+0	-27.642665E-9	20.020529E-12	506.12398E-12	2.4235294E+0	-27.654254E-9	20.500728E-12
2.4411764E+0	507.09315E-12	2.4411764E+0	-27.645482E-9	20.773484E-12	505.95078E-12	2.4411764E+0	-27.650776E-9	20.821988E-12
2.4588237E+0	510.10368E-12	2.4588234E+0	-27.640413E-9	21.016569E-12	506.05203E-12	2.4588234E+0	-27.651652E-9	21.310936E-12
2.4764707E+0	511.00196E-12	2.4764705E+0	-27.630476E-9	21.236261E-12	505.41171E-12	2.4764705E+0	-27.647825E-9	21.550563E-12
2.4941177E+0	509.53458E-12	2.4941177E+0	-27.618141E-9	22.254469E-12	505.82644E-12	2.4941177E+0	-27.638695E-9	21.245528E-12
2.5117648E+0	506.94554E-12	2.5117648E+0	-27.607495E-9	22.715276E-12	505.50242E-12	2.5117648E+0	-27.627113E-9	22.881676E-12
2.5294118E+0	505.50530E-12	2.5294118E+0	-27.604683E-9	22.618100E-12	505.06327E-12	2.5294118E+0	-27.617082E-9	24.219933E-12
2.5470588E+0	505.68610E-12	2.5470588E+0	-27.605823E-9	23.902659E-12	505.96255E-12	2.5470588E+0	-27.611510E-9	22.657733E-12
2.5647061E+0	505.73001E-12	2.5647058E+0	-27.601486E-9	23.972631E-12	506.51544E-12	2.5647058E+0	-27.611234E-9	24.068723E-12
2.5823531E+0	507.04252E-12	2.5823529E+0	-27.586392E-9	22.909837E-12	507.28483E-12	2.5823529E+0	-27.606410E-9	24.528166E-12
2.6000001E+0	507.24902E-12	2.5999999E+0	-27.575163E-9	25.520617E-12	506.24516E-12	2.5999999E+0	-27.595982E-9	22.658724E-12
2.6176472E+0	505.61011E-12	2.6176472E+0	-27.565568E-9	24.394169E-12	504.61729E-12	2.6176472E+0	-27.583502E-9	24.237288E-12
2.6352942E+0	504.64410E-12	2.6352942E+0	-27.568104E-9	23.338626E-12	506.14762E-12	2.6352942E+0	-27.570820E-9	24.031417E-12
2.6529412E+0	506.28474E-12	2.6529412E+0	-27.562203E-9	23.563656E-12	506.71195E-12	2.6529412E+0	-27.567403E-9	23.250834E-12
2.6705883E+0	506.17566E-12	2.6705883E+0	-27.553041E-9	22.459673E-12	506.16494E-12	2.6705883E+0	-27.566774E-9	23.735250E-12
2.6882353E+0	507.57271E-12	2.6882353E+0	-27.535993E-9	22.046587E-12	506.15684E-12	2.6882353E+0	-27.560883E-9	21.178470E-12
2.7058825E+0	508.25427E-12	2.7058823E+0	-27.522816E-9	20.610014E-12	506.30888E-12	2.7058823E+0	-27.550554E-9	21.518537E-12
2.7235296E+0	507.66785E-12	2.7235293E+0	-27.520702E-9	20.464790E-12	505.80584E-12	2.7235293E+0	-27.539786E-9	21.553006E-12
2.7411766E+0	507.08487E-12	2.7411764E+0	-27.526033E-9	20.649368E-12	507.05201E-12	2.7411764E+0	-27.531188E-9	20.618712E-12
2.7588236E+0	505.96705E-12	2.7588236E+0	-27.522047E-9	19.873632E-12	506.16134E-12	2.7588236E+0	-27.530572E-9	19.448125E-12
2.7764707E+0	507.86086E-12	2.7764707E+0	-27.514352E-9	18.679287E-12	506.58494E-12	2.7764707E+0	-27.526722E-9	20.473741E-12
2.7941177E+0	506.60209E-12	2.7941177E+0	-27.497929E-9	18.859874E-12	506.27352E-12	2.7941177E+0	-27.519921E-9	18.922031E-12
2.8117647E+0	506.18154E-12	2.8117647E+0	-27.487832E-9	17.678792E-12	504.98355E-12	2.8117647E+0	-27.510847E-9	17.520341E-12
2.8294120E+0	505.11934E-12	2.8294117E+0	-27.487845E-9	17.503717E-12	505.71569E-12	2.8294117E+0	-27.502457E-9	18.083406E-12
2.8470590E+0	504.86076E-12	2.8470588E+0	-27.487342E-9	17.723404E-12	504.94253E-12	2.8470588E+0	-27.499551E-9	16.723766E-12
2.8647060E+0	507.72442E-12	2.8647058E+0	-27.485845E-9	16.663110E-12	505.35770E-12	2.8647058E+0	-27.498096E-9	17.169481E-12
2.8823531E+0	505.91886E-12	2.8823528E+0	-27.477130E-9	17.902032E-12	505.84215E-12	2.8823528E+0	-27.496855E-9	16.307060E-12
2.9000001E+0	509.03015E-12	2.9000001E+0	-27.464548E-9	16.704364E-12	504.86032E-12	2.9000001E+0	-27.491502E-9	16.927354E-12
2.9176471E+0	506.70146E-12	2.9176471E+0	-27.459627E-9	16.831649E-12	505.61705E-12	2.9176471E+0	-27.479986E-9	17.080691E-12
2.9352942E+0	506.86416E-12	2.9352942E+0	-27.454512E-9	15.473959E-12	504.48523E-12	2.9352942E+0	-27.472403E-9	16.846077E-12
2.9529412E+0	505.70026E-12	2.9529412E+0	-27.456917E-9	15.481911E-12	506.10477E-12	2.9529412E+0	-27.466349E-9	16.279441E-12
2.9705884E+0	506.22800E-12	2.9705882E+0	-27.454076E-9	16.459429E-12	505.84809E-12	2.9705882E+0	-27.466772E-9	16.201910E-12
2.9882355E+0	506.33875E-12	2.9882352E+0	-27.444255E-9	16.332789E-12	507.01310E-12	2.9882352E+0	-27.465417E-9	14.974473E-12
3.0058825E+0	506.18199E-12	3.0058823E+0	-27.434341E-9	14.934144E-12	506.64062E-12	3.0058823E+0	-27.458842E-9	15.759189E-12
