958.82356E-3	505.56986E-12	958.82350E-3	-27.882709E-9	16.484668E-12	512.59613E-12	958.82350E-3	-27.860086E-9	16.565461E-12
976.47059E-3	507.19140E-12	976.47059E-3	-27.871922E-9	16.782357E-12	511.59066E-12	976.47059E-3	-27.852204E-9	17.216771E-12
994.11768E-3	507.18130E-12	994.11762E-3	-27.860386E-9	16.198275E-12	511.83618E-12	994.11762E-3	-27.846317E-9	16.556517E-12
1.0117648E+0	505.27532E-12	1.0117648E+0	-27.859546E-9	16.974769E-12	510.10479E-12	1.0117648E+0	-27.845042E-9	17.090301E-12
1.0294118E+0	505.56292E-12	1.0294118E+0	-27.864488E-9	16.338630E-12	507.67612E-12	1.0294118E+0	-27.846367E-9	16.512685E-12
1.0470588E+0	508.39416E-12	1.0470588E+0	-27.864170E-9	15.424256E-12	506.57578E-12	1.0470588E+0	-27.846509E-9	16.485046E-12
1.0647058E+0	506.71528E-12	1.0647058E+0	-27.859512E-9	17.477509E-12	506.59216E-12	1.0647058E+0	-27.843793E-9	16.479342E-12
1.0823530E+0	510.69693E-12	1.0823530E+0	-27.840422E-9	15.456377E-12	505.79424E-12	1.0823530E+0	-27.839528E-9	15.839422E-12
1.1000000E+0	507.46723E-12	1.1000000E+0	-27.831861E-9	16.037137E-12	506.16761E-12	1.1000000E+0	-27.833220E-9	16.014017E-12
1.1176472E+0	505.99075E-12	1.1176471E+0	-27.832590E-9	16.162146E-12	506.05498E-12	1.1176471E+0	-27.827117E-9	14.996452E-12
1.1352942E+0	507.46080E-12	1.1352941E+0	-27.838556E-9	15.443683E-12	506.29539E-12	1.1352941E+0	-27.824672E-9	15.154815E-12
1.1529412E+0	509.32414E-12	1.1529412E+0	-27.838841E-9	14.935027E-12	505.41799E-12	1.1529412E+0	-27.823535E-9	16.091111E-12
1.1705883E+0	506.30072E-12	1.1705883E+0	-27.836400E-9	14.263678E-12	506.27053E-12	1.1705883E+0	-27.820811E-9	13.794441E-12
1.1882353E+0	507.69972E-12	1.1882353E+0	-27.823900E-9	15.165511E-12	506.35895E-12	1.1882353E+0	-27.819404E-9	15.696049E-12
1.2058823E+0	504.92516E-12	1.2058823E+0	-27.817423E-9	14.688738E-12	507.51559E-12	1.2058823E+0	-27.814350E-9	15.117645E-12
1.2235295E+0	506.02655E-12	1.2235295E+0	-27.815759E-9	15.804729E-12	508.78751E-12	1.2235295E+0	-27.808435E-9	14.376631E-12
1.2411765E+0	506.66304E-12	1.2411765E+0	-27.818603E-9	13.960223E-12	508.96359E-12	1.2411765E+0	-27.804740E-9	14.737071E-12
1.2588236E+0	508.86684E-12	1.2588235E+0	-27.815265E-9	14.289927E-12	506.08512E-12	1.2588235E+0	-27.805257E-9	14.667385E-12
1.2764707E+0	509.09815E-12	1.2764705E+0	-27.809135E-9	14.728616E-12	507.09514E-12	1.2764705E+0	-27.799956E-9	14.211762E-12
1.2941177E+0	510.66384E-12	1.2941177E+0	-27.800619E-9	14.883017E-12	505.96866E-12	1.2941177E+0	-27.796911E-9	14.966132E-12
1.3117647E+0	510.29203E-12	1.3117647E+0	-27.794554E-9	14.095572E-12	508.02135E-12	1.3117647E+0	-27.790668E-9	13.309290E-12
1.3294117E+0	508.05493E-12	1.3294117E+0	-27.796698E-9	15.844777E-12	507.68201E-12	1.3294117E+0	-27.789774E-9	15.565863E-12
1.3470589E+0	508.15252E-12	1.3470588E+0	-27.798192E-9	14.676441E-12	507.26395E-12	1.3470588E+0	-27.790472E-9	15.352320E-12
1.3647059E+0	507.85093E-12	1.3647059E+0	-27.796469E-9	14.978904E-12	505.57836E-12	1.3647059E+0	-27.791975E-9	14.184044E-12
1.3823531E+0	506.59854E-12	1.3823529E+0	-27.789168E-9	14.063493E-12	504.76018E-12	1.3823529E+0	-27.787822E-9	15.434933E-12
1.4000001E+0	507.90477E-12	1.4000000E+0	-27.779413E-9	15.441067E-12	504.73636E-12	1.4000000E+0	-27.779576E-9	16.339602E-12
1.4176471E+0	507.24175E-12	1.4176470E+0	-27.772437E-9	15.231866E-12	506.80482E-12	1.4176470E+0	-27.769996E-9	14.938223E-12
1.4352942E+0	510.03202E-12	1.4352942E+0	-27.771513E-9	15.041831E-12	506.07185E-12	1.4352942E+0	-27.767937E-9	15.712587E-12
1.4529412E+0	509.50516E-12	1.4529412E+0	-27.776489E-9	14.564934E-12	507.74135E-12	1.4529412E+0	-27.768115E-9	15.181001E-12
1.4705882E+0	509.94531E-12	1.4705882E+0	-27.774773E-9	15.667806E-12	506.81453E-12	1.4705882E+0	-27.769172E-9	14.885222E-12
1.4882354E+0	508.39410E-12	1.4882352E+0	-27.769039E-9	15.577617E-12	508.19382E-12	1.4882352E+0	-27.765038E-9	15.821257E-12
1.5058824E+0	511.27924E-12	1.5058824E+0	-27.753586E-9	14.215999E-12	506.14540E-12	1.5058824E+0	-27.760542E-9	16.442689E-12
1.5235294E+0	509.56339E-12	1.5235294E+0	-27.745511E-9	17.246860E-12	505.01947E-12	1.5235294E+0	-27.755828E-9	15.248667E-12
1.5411766E+0	507.58231E-12	1.5411764E+0	-27.748388E-9	15.692919E-12	505.97948E-12	1.5411764E+0	-27.750858E-9	14.986196E-12
1.5588236E+0	504.89285E-12	1.5588236E+0	-27.754492E-9	14.901486E-12	505.95755E-12	1.5588236E+0	-27.750223E-9	15.981787E-12
1.5764706E+0	506.07557E-12	1.5764706E+0	-27.753000E-9	15.822002E-12	505.66362E-12	1.5764706E+0	-27.747360E-9	14.616563E-12
1.5941176E+0	505.56814E-12	1.5941176E+0	-27.745656E-9	15.448687E-12	505.77287E-12	1.5941176E+0	-27.741795E-9	14.598789E-12
1.6117648E+0	506.02622E-12	1.6117647E+0	-27.735265E-9	15.799162E-12	505.17696E-12	1.6117647E+0	-27.736771E-9	16.605255E-12
1.6294118E+0	505.48088E-12	1.6294118E+0	-27.730998E-9	15.427593E-12	506.93288E-12	1.6294118E+0	-27.732909E-9	15.845582E-12
1.6470588E+0	507.00077E-12	1.6470588E+0	-27.731147E-9	15.983092E-12	507.92276E-12	1.6470588E+0	-27.732369E-9	15.006052E-12
1.6647060E+0	506.55019E-12	1.6647059E+0	-27.730984E-9	15.141098E-12	510.67306E-12	1.6647059E+0	-27.727992E-9	15.959688E-12
1.6823530E+0	508.03917E-12	1.6823529E+0	-27.724502E-9	15.136080E-12	516.55635E-12	1.6823529E+0	-27.718899E-9	16.598022E-12
1.7000000E+0	506.14096E-12	1.7000000E+0	-27.716638E-9	15.529996E-12	522.59796E-12	1.7000000E+0	-27.706598E-9	13.925009E-12
1.7176471E+0	506.09783E-12	1.7176471E+0	-27.707982E-9	14.850383E-12	515.32567E-12	1.7176471E+0	-27.706331E-9	15.783473E-12
1.7352942E+0	504.82474E-12	1.7352941E+0	-27.708946E-9	16.194386E-12	517.54340E-12	1.7352941E+0	-27.702876E-9	15.758976E-12
1.7529413E+0	504.60963E-12	1.7529411E+0	-27.711703E-9	14.287484E-12	512.42438E-12	1.7529411E+0	-27.704314E-9	15.781827E-12
1.7705883E+0	505.83610E-12	1.7705883E+0	-27.711684E-9	15.518692E-12	509.24698E-12	1.7705883E+0	-27.706688E-9	14.223851E-12
1.7882353E+0	506.22578E-12	1.7882353E+0	-27.704424E-9	14.574624E-12	507.20428E-12	1.7882353E+0	-27.705815E-9	15.150924E-12
1.8058825E+0	505.55771E-12	1.8058823E+0	-27.693913E-9	14.640775E-12	506.18271E-12	1.8058823E+0	-27.702223E-9	15.369511E-12
1.8235295E+0	505.36281E-12	1.8235294E+0	-27.685379E-9	14.715711E-12	506.75536E-12	1.8235294E+0	-27.696728E-9	15.507554E-12
1.8411765E+0	506.09023E-12	1.8411765E+0	-27.682299E-9	15.011967E-12	507.17830E-12	1.8411765E+0	-27.691353E-9	15.153384E-12
1.8588235E+0	509.14140E-12	1.8588235E+0	-27.682070E-9	15.537889E-12	507.21860E-12	1.8588235E+0	-27.686578E-9	14.507476E-12
1.8764707E+0	509.89507E-12	1.8764706E+0	-27.682219E-9	15.596451E-12	507.68356E-12	1.8764706E+0	-27.683832E-9	14.938144E-12
1.8941177E+0	508.10162E-12	1.8941176E+0	-27.679064E-9	14.648886E-12	506.70312E-12	1.8941176E+0	-27.683567E-9	14.747956E-12
1.9117647E+0	506.79561E-12	1.9117647E+0	-27.672552E-9	14.720253E-12	505.41971E-12	1.9117647E+0	-27.680951E-9	14.656110E-12
1.9294119E+0	506.04598E-12	1.9294118E+0	-27.666244E-9	14.177047E-12	505.08925E-12	1.9294118E+0	-27.678258E-9	13.983379E-12
1.9470589E+0	505.44058E-12	1.9470588E+0	-27.663701E-9	14.575516E-12	506.25681E-12	1.9470588E+0	-27.674004E-9	14.804083E-12
1.9647059E+0	505.97693E-12	1.9647058E+0	-27.661907E-9	14.601226E-12	505.68572E-12	1.9647058E+0	-27.670588E-9	14.127539E-12
1.9823530E+0	506.17516E-12	1.9823530E+0	-27.658745E-9	14.452800E-12	505.58152E-12	1.9823530E+0	-27.668921E-9	14.166977E-12
2.0000000E+0	505.85247E-12	2.0000000E+0	-27.654046E-9	15.334983E-12	505.35631E-12	2.0000000E+0	-27.662212E-9	15.031061E-12
2.0176473E+0	505.24407E-12	2.0176470E+0	-27.648332E-9	15.184824E-12	505.75971E-12	2.0176470E+0	-27.656514E-9	15.519358E-12
2.0352941E+0	505.95889E-12	2.0352941E+0	-27.643384E-9	15.003086E-12	505.19211E-12	2.0352941E+0	-27.653886E-9	15.437623E-12
2.0529413E+0	506.23816E-12	2.0529411E+0	-27.641621E-9	16.307348E-12	505.78963E-12	2.0529411E+0	-27.651179E-9	16.343000E-12
2.0705884E+0	507.10708E-12	2.0705884E+0	-27.639727E-9	15.943621E-12	506.23000E-12	2.0705884E+0	-27.650193E-9	16.602674E-12
2.0882354E+0	509.50849E-12	2.0882354E+0	-27.631708E-9	17.651901E-12	505.82255E-12	2.0882354E+0	-27.649032E-9	16.935127E-12
2.1058824E+0	508.71107E-12	2.1058824E+0	-27.624775E-9	16.958157E-12	506.88187E-12	2.1058824E+0	-27.640692E-9	17.839584E-12
2.1235294E+0	506.69235E-12	2.1235294E+0	-27.616874E-9	19.129632E-12	507.29637E-12	2.1235294E+0	-27.633604E-9	18.377895E-12
2.1411767E+0	509.78999E-12	2.1411765E+0	-27.606646E-9	18.654366E-12	507.40107E-12	2.1411765E+0	-27.627307E-9	18.962127E-12
2.1588235E+0	506.66987E-12	2.1588235E+0	-27.606688E-9	20.068353E-12	505.41704E-12	2.1588235E+0	-27.622479E-9	19.196641E-12
2.1764708E+0	508.01424E-12	2.1764705E+0	-27.605017E-9	20.569492E-12	505.70620E-12	2.1764705E+0	-27.617759E-9	22.374987E-12
2.1941178E+0	506.93688E-12	2.1941175E+0	-27.600365E-9	21.873591E-12	506.51194E-12	2.1941175E+0	-27.612801E-9	22.616502E-12
2.2117648E+0	508.52295E-12	2.2117648E+0	-27.590934E-9	22.418470E-12	506.41125E-12	2.2117648E+0	-27.608023E-9	23.037886E-12
2.2294118E+0	510.43098E-12	2.2294118E+0	-27.579187E-9	25.495963E-12	505.89927E-12	2.2294118E+0	-27.603779E-9	24.832339E-12
2.2470589E+0	508.79612E-12	2.2470589E+0	-27.569758E-9	25.448969E-12	505.84886E-12	2.2470589E+0	-27.595407E-9	26.085136E-12
2.2647061E+0	508.72195E-12	2.2647059E+0	-27.561466E-9	26.240975E-12	505.75211E-12	2.2647059E+0	-27.583702E-9	27.809130E-12
2.2823529E+0	508.46743E-12	2.2823529E+0	-27.554259E-9	30.333500E-12	505.81050E-12	2.2823529E+0	-27.573323E-9	28.057584E-12
2.3000002E+0	508.83708E-12	2.3000000E+0	-27.546212E-9	29.961107E-12	505.28703E-12	2.3000000E+0	-27.564644E-9	30.240140E-12
2.3176470E+0	508.98141E-12	2.3176470E+0	-27.535453E-9	31.922232E-12	506.24405E-12	2.3176470E+0	-27.556883E-9	31.569275E-12
2.3352942E+0	508.16995E-12	2.3352940E+0	-27.522345E-9	32.351385E-12	505.61755E-12	2.3352940E+0	-27.548399E-9	32.204715E-12
2.3529413E+0	506.98751E-12	2.3529413E+0	-27.510129E-9	35.199989E-12	504.92166E-12	2.3529413E+0	-27.535368E-9	35.925804E-12
2.3705883E+0	506.23300E-12	2.3705883E+0	-27.500771E-9	37.126822E-12	505.76160E-12	2.3705883E+0	-27.522658E-9	36.100799E-12
2.3882353E+0	507.05884E-12	2.3882353E+0	-27.489799E-9	37.825871E-12	506.46964E-12	2.3882353E+0	-27.510140E-9	37.916684E-12
2.4058824E+0	505.69182E-12	2.4058824E+0	-27.474677E-9	40.426159E-12	507.52813E-12	2.4058824E+0	-27.496903E-9	41.122172E-12
2.4235296E+0	506.48225E-12	2.4235294E+0	-27.455942E-9	42.057201E-12	508.22713E-12	2.4235294E+0	-27.481759E-9	42.698976E-12
2.4411764E+0	506.37344E-12	2.4411764E+0	-27.436252E-9	44.477821E-12	506.18676E-12	2.4411764E+0	-27.465452E-9	44.805507E-12
2.4588237E+0	505.82144E-12	2.4588234E+0	-27.419496E-9	47.936741E-12	506.90624E-12	2.4588234E+0	-27.444871E-9	48.790531E-12
2.4764707E+0	505.72940E-12	2.4764705E+0	-27.405070E-9	51.964519E-12	506.35868E-12	2.4764705E+0	-27.427488E-9	52.810752E-12
2.4941177E+0	506.42801E-12	2.4941177E+0	-27.385992E-9	56.918470E-12	506.95576E-12	2.4941177E+0	-27.406733E-9	57.455461E-12
2.5117648E+0	506.87821E-12	2.5117648E+0	-27.360002E-9	62.238791E-12	507.79464E-12	2.5117648E+0	-27.385834E-9	62.305147E-12
2.5294118E+0	508.41154E-12	2.5294118E+0	-27.327074E-9	67.344727E-12	507.51636E-12	2.5294118E+0	-27.361391E-9	68.882122E-12
2.5470588E+0	508.14136E-12	2.5470588E+0	-27.296043E-9	74.393144E-12	506.99389E-12	2.5470588E+0	-27.331438E-9	73.048040E-12
2.5647061E+0	508.60038E-12	2.5647058E+0	-27.263948E-9	76.329158E-12	506.92966E-12	2.5647058E+0	-27.298070E-9	76.233478E-12
2.5823531E+0	508.58440E-12	2.5823529E+0	-27.234913E-9	74.269056E-12	506.81365E-12	2.5823529E+0	-27.264088E-9	74.939548E-12
2.6000001E+0	508.62781E-12	2.5999999E+0	-27.205779E-9	70.208880E-12	506.85506E-12	2.5999999E+0	-27.232927E-9	70.480295E-12
2.6176472E+0	508.16856E-12	2.6176472E+0	-27.177151E-9	63.674552E-12	506.40608E-12	2.6176472E+0	-27.207594E-9	63.466427E-12
2.6352942E+0	507.56677E-12	2.6352942E+0	-27.150213E-9	54.992445E-12	506.29856E-12	2.6352942E+0	-27.182363E-9	55.103845E-12
2.6529412E+0	506.15284E-12	2.6529412E+0	-27.129726E-9	47.738657E-12	509.59381E-12	2.6529412E+0	-27.157007E-9	48.701033E-12
2.6705883E+0	506.18243E-12	2.6705883E+0	-27.111181E-9	42.191806E-12	506.27752E-12	2.6705883E+0	-27.141132E-9	41.647415E-12
2.6882353E+0	506.10371E-12	2.6882353E+0	-27.095911E-9	36.919644E-12	506.12337E-12	2.6882353E+0	-27.124438E-9	37.464129E-12
2.7058825E+0	505.73917E-12	2.7058823E+0	-27.084585E-9	32.930322E-12	505.52307E-12	2.7058823E+0	-27.111552E-9	33.474792E-12
2.7235296E+0	506.70351E-12	2.7235293E+0	-27.071705E-9	31.457715E-12	506.31771E-12	2.7235293E+0	-27.097848E-9	31.661979E-12
2.7411766E+0	507.38880E-12	2.7411764E+0	-27.059311E-9	28.627652E-12	506.66427E-12	2.7411764E+0	-27.087101E-9	29.562686E-12
2.7588236E+0	508.63369E-12	2.7588236E+0	-27.045354E-9	28.557656E-12	505.26805E-12	2.7588236E+0	-27.076808E-9	28.818134E-12
2.7764707E+0	507.67929E-12	2.7764707E+0	-27.035075E-9	28.139498E-12	505.54910E-12	2.7764707E+0	-27.064688E-9	28.144846E-12
2.7941177E+0	505.88850E-12	2.7941177E+0	-27.026877E-9	27.856113E-12	506.48030E-12	2.7941177E+0	-27.053995E-9	28.345187E-12
2.8117647E+0	505.22170E-12	2.8117647E+0	-27.018956E-9	28.934100E-12	506.42029E-12	2.8117647E+0	-27.044383E-9	29.456916E-12
2.8294120E+0	506.39803E-12	2.8294117E+0	-27.007738E-9	29.181529E-12	505.50919E-12	2.8294117E+0	-27.033677E-9	29.436193E-12
2.8470590E+0	505.92247E-12	2.8470588E+0	-26.994499E-9	29.777979E-12	505.60994E-12	2.8470588E+0	-27.022484E-9	29.851552E-12
2.8647060E+0	505.85125E-12	2.8647058E+0	-26.980413E-9	29.980678E-12	505.95644E-12	2.8647058E+0	-27.008058E-9	30.840497E-12
2.8823531E+0	505.78969E-12	2.8823528E+0	-26.968888E-9	30.112003E-12	505.39944E-12	2.8823528E+0	-26.995819E-9	30.284285E-12
2.9000001E+0	505.45301E-12	2.9000001E+0	-26.958721E-9	29.301127E-12	506.97530E-12	2.9000001E+0	-26.982574E-9	30.014834E-12
2.9176471E+0	505.48521E-12	2.9176471E+0	-26.949012E-9	28.980877E-12	507.50948E-12	2.9176471E+0	-26.970884E-9	29.797859E-12
2.9352942E+0	505.89105E-12	2.9352942E+0	-26.938379E-9	28.792611E-12	507.25618E-12	2.9352942E+0	-26.961620E-9	28.117432E-12
2.9529412E+0	506.00724E-12	2.9529412E+0	-26.926207E-9	26.207637E-12	505.99758E-12	2.9529412E+0	-26.952854E-9	27.347109E-12
2.9705884E+0	505.41721E-12	2.9705882E+0	-26.915727E-9	25.195962E-12	505.43003E-12	2.9705882E+0	-26.943152E-9	24.326229E-12
2.9882355E+0	505.20671E-12	2.9882352E+0	-26.908149E-9	23.773211E-12	505.17801E-12	2.9882352E+0	-26.933144E-9	22.809274E-12
3.0058825E+0	505.60223E-12	3.0058823E+0	-26.900249E-9	21.694542E-12	506.20097E-12	3.0058823E+0	-26.921926E-9	22.152686E-12
