541.17650E-3	105.39812E-12	541.17650E-3	-43.348216E-9	6.1226458E-12	105.59804E-12	541.17650E-3	-43.292733E-9	6.1844484E-12
554.90196E-3	105.75529E-12	554.90196E-3	-43.339018E-9	6.2130574E-12	105.20233E-12	554.90196E-3	-43.285798E-9	6.2159375E-12
568.62748E-3	105.80484E-12	568.62748E-3	-43.329813E-9	5.9872255E-12	105.40455E-12	568.62748E-3	-43.275417E-9	6.2777301E-12
582.35294E-3	105.22357E-12	582.35294E-3	-43.328324E-9	6.2274751E-12	105.71242E-12	582.35294E-3	-43.267459E-9	6.3175316E-12
596.07846E-3	105.27830E-12	596.07846E-3	-43.325191E-9	6.3191037E-12	105.72316E-12	596.07846E-3	-43.267114E-9	5.8384669E-12
609.80392E-3	105.44746E-12	609.80392E-3	-43.322647E-9	6.2014872E-12	105.47978E-12	609.80392E-3	-43.266525E-9	6.1183745E-12
623.52943E-3	105.36721E-12	623.52943E-3	-43.319844E-9	5.9971880E-12	105.95864E-12	623.52943E-3	-43.260528E-9	6.0772529E-12
637.25489E-3	106.06281E-12	637.25489E-3	-43.311953E-9	6.0807965E-12	105.70115E-12	637.25489E-3	-43.252090E-9	5.9310517E-12
650.98041E-3	105.66384E-12	650.98041E-3	-43.307136E-9	5.9883613E-12	105.75758E-12	650.98041E-3	-43.245688E-9	6.2790888E-12
664.70587E-3	105.86575E-12	664.70587E-3	-43.302222E-9	5.7072181E-12	105.68092E-12	664.70587E-3	-43.247944E-9	6.0211072E-12
678.43139E-3	105.60892E-12	678.43139E-3	-43.296026E-9	6.0519055E-12	106.01458E-12	678.43139E-3	-43.249457E-9	5.8688618E-12
692.15685E-3	105.74827E-12	692.15685E-3	-43.293277E-9	5.9671729E-12	105.97487E-12	692.15685E-3	-43.251063E-9	5.5992177E-12
705.88237E-3	105.52764E-12	705.88237E-3	-43.289724E-9	5.3929708E-12	105.72115E-12	705.88237E-3	-43.238821E-9	5.6355498E-12
719.60783E-3	105.21740E-12	719.60783E-3	-43.289734E-9	5.4367656E-12	106.12652E-12	719.60783E-3	-43.224532E-9	5.7296238E-12
733.33335E-3	105.42978E-12	733.33335E-3	-43.284658E-9	5.6393518E-12	105.65725E-12	733.33335E-3	-43.219952E-9	5.8316962E-12
747.05881E-3	105.29921E-12	747.05881E-3	-43.279265E-9	5.5499186E-12	105.50058E-12	747.05881E-3	-43.223565E-9	5.4542547E-12
760.78433E-3	105.52808E-12	760.78433E-3	-43.275829E-9	5.6081650E-12	105.83507E-12	760.78433E-3	-43.229086E-9	5.7082572E-12
774.50979E-3	105.48769E-12	774.50979E-3	-43.271001E-9	5.3731069E-12	105.42801E-12	774.50979E-3	-43.231310E-9	5.5013255E-12
788.23531E-3	105.44780E-12	788.23531E-3	-43.269697E-9	5.3365580E-12	105.34467E-12	788.23531E-3	-43.223881E-9	5.3400622E-12
801.96083E-3	105.50501E-12	801.96077E-3	-43.262904E-9	5.3620094E-12	105.28230E-12	801.96077E-3	-43.213291E-9	5.2286487E-12
815.68629E-3	105.69819E-12	815.68629E-3	-43.256453E-9	5.2818427E-12	105.68028E-12	815.68629E-3	-43.205979E-9	5.4705836E-12
829.41175E-3	105.56488E-12	829.41175E-3	-43.255604E-9	5.2193675E-12	105.51400E-12	829.41175E-3	-43.206324E-9	5.6077161E-12
843.13726E-3	105.56562E-12	843.13726E-3	-43.254119E-9	5.1065758E-12	105.41943E-12	843.13726E-3	-43.207031E-9	5.2267453E-12
856.86278E-3	105.62209E-12	856.86272E-3	-43.252609E-9	5.6482310E-12	105.34502E-12	856.86272E-3	-43.205169E-9	5.4195533E-12
870.58824E-3	105.46423E-12	870.58824E-3	-43.249571E-9	5.2775961E-12	105.34355E-12	870.58824E-3	-43.199769E-9	5.3270990E-12
884.31370E-3	105.51000E-12	884.31370E-3	-43.242974E-9	4.9065574E-12	105.90637E-12	884.31370E-3	-43.192504E-9	5.4095925E-12
898.03922E-3	105.55641E-12	898.03922E-3	-43.237190E-9	4.8416913E-12	105.33253E-12	898.03922E-3	-43.192273E-9	4.9864024E-12
911.76474E-3	105.80412E-12	911.76468E-3	-43.232468E-9	5.0312905E-12	105.85954E-12	911.76468E-3	-43.190600E-9	5.0688889E-12
925.49020E-3	105.44470E-12	925.49020E-3	-43.232088E-9	5.3094755E-12	106.10957E-12	925.49020E-3	-43.189768E-9	5.0645738E-12
939.21566E-3	105.32618E-12	939.21566E-3	-43.230415E-9	5.2241631E-12	105.54285E-12	939.21566E-3	-43.189864E-9	5.2667007E-12
952.94118E-3	106.25444E-12	952.94118E-3	-43.224684E-9	5.2659131E-12	105.09485E-12	952.94118E-3	-43.180503E-9	5.0842126E-12
966.66670E-3	106.02952E-12	966.66664E-3	-43.221117E-9	5.3170953E-12	105.69104E-12	966.66664E-3	-43.167439E-9	5.1916856E-12
980.39216E-3	105.95098E-12	980.39216E-3	-43.219245E-9	4.8901360E-12	105.95819E-12	980.39216E-3	-43.167937E-9	5.4822353E-12
994.11762E-3	105.72788E-12	994.11762E-3	-43.214722E-9	5.0546325E-12	105.60836E-12	994.11762E-3	-43.174683E-9	5.3581501E-12
1.0078431E+0	105.64437E-12	1.0078431E+0	-43.209649E-9	4.7453218E-12	105.62308E-12	1.0078431E+0	-43.178790E-9	5.0401371E-12
1.0215687E+0	105.50291E-12	1.0215687E+0	-43.207105E-9	4.9726213E-12	105.49794E-12	1.0215687E+0	-43.176236E-9	4.6863663E-12
1.0352941E+0	105.19473E-12	1.0352942E+0	-43.207560E-9	4.9809878E-12	105.13904E-12	1.0352942E+0	-43.166644E-9	4.9437494E-12
1.0490196E+0	105.39837E-12	1.0490196E+0	-43.205461E-9	4.9024083E-12	105.39342E-12	1.0490196E+0	-43.153928E-9	5.2979444E-12
1.0627451E+0	105.31745E-12	1.0627451E+0	-43.200899E-9	4.7071669E-12	105.65233E-12	1.0627451E+0	-43.151626E-9	5.0942020E-12
1.0764706E+0	105.51262E-12	1.0764706E+0	-43.196025E-9	4.7628503E-12	106.05468E-12	1.0764706E+0	-43.152646E-9	4.8894170E-12
1.0901961E+0	105.35920E-12	1.0901961E+0	-43.194678E-9	4.9157952E-12	105.54480E-12	1.0901961E+0	-43.158593E-9	5.1879681E-12
1.1039217E+0	105.46961E-12	1.1039215E+0	-43.193804E-9	5.1941550E-12	105.43438E-12	1.1039215E+0	-43.153896E-9	5.1842697E-12
1.1176471E+0	105.31823E-12	1.1176471E+0	-43.191797E-9	5.2001506E-12	105.25532E-12	1.1176471E+0	-43.146205E-9	4.8611219E-12
1.1313726E+0	105.50695E-12	1.1313726E+0	-43.183800E-9	4.6802996E-12	105.23028E-12	1.1313726E+0	-43.142354E-9	4.9591308E-12
1.1450980E+0	105.66233E-12	1.1450981E+0	-43.175142E-9	4.8070766E-12	105.38961E-12	1.1450981E+0	-43.142773E-9	5.1056446E-12
1.1588235E+0	105.36692E-12	1.1588235E+0	-43.172076E-9	4.7620493E-12	105.50002E-12	1.1588235E+0	-43.144727E-9	4.7069349E-12
1.1725490E+0	105.51689E-12	1.1725490E+0	-43.172584E-9	4.7733696E-12	105.69441E-12	1.1725490E+0	-43.141032E-9	4.7281293E-12
1.1862745E+0	105.15626E-12	1.1862745E+0	-43.177693E-9	5.0476828E-12	105.25606E-12	1.1862745E+0	-43.134165E-9	4.8229576E-12
1.2000000E+0	105.31116E-12	1.2000000E+0	-43.176001E-9	4.9067343E-12	105.33562E-12	1.2000000E+0	-43.123919E-9	4.8018026E-12
1.2137256E+0	105.34278E-12	1.2137254E+0	-43.168676E-9	4.8060349E-12	105.34291E-12	1.2137254E+0	-43.123098E-9	5.2554992E-12
1.2274510E+0	105.37946E-12	1.2274510E+0	-43.159485E-9	4.8028391E-12	105.67208E-12	1.2274510E+0	-43.126789E-9	4.9123487E-12
1.2411765E+0	105.28902E-12	1.2411765E+0	-43.154316E-9	4.8053831E-12	105.87165E-12	1.2411765E+0	-43.130264E-9	4.7852299E-12
1.2549019E+0	105.16190E-12	1.2549020E+0	-43.153189E-9	4.7037877E-12	105.70440E-12	1.2549020E+0	-43.127365E-9	4.8652957E-12
1.2686274E+0	105.20667E-12	1.2686274E+0	-43.154738E-9	4.5470359E-12	105.63047E-12	1.2686274E+0	-43.116245E-9	4.6770747E-12
1.2823529E+0	105.86059E-12	1.2823529E+0	-43.150965E-9	4.6732947E-12	105.29613E-12	1.2823529E+0	-43.107811E-9	4.6957590E-12
1.2960784E+0	105.51332E-12	1.2960784E+0	-43.147942E-9	4.9439350E-12	105.75672E-12	1.2960784E+0	-43.102752E-9	5.0015677E-12
1.3098040E+0	105.40743E-12	1.3098040E+0	-43.141632E-9	5.3124059E-12	106.18609E-12	1.3098040E+0	-43.106379E-9	4.8837865E-12
1.3235295E+0	105.24034E-12	1.3235294E+0	-43.139234E-9	4.4520815E-12	105.61984E-12	1.3235294E+0	-43.113257E-9	4.7851393E-12
1.3372549E+0	105.17372E-12	1.3372549E+0	-43.139472E-9	4.5228209E-12	105.63964E-12	1.3372549E+0	-43.109697E-9	4.9801487E-12
1.3509804E+0	105.13367E-12	1.3509804E+0	-43.139096E-9	4.6641649E-12	105.10817E-12	1.3509804E+0	-43.102283E-9	4.8303419E-12
1.3647058E+0	105.32182E-12	1.3647059E+0	-43.133998E-9	4.4552734E-12	105.12539E-12	1.3647059E+0	-43.094115E-9	4.8820648E-12
1.3784313E+0	105.32827E-12	1.3784313E+0	-43.125389E-9	4.9008566E-12	105.36948E-12	1.3784313E+0	-43.092395E-9	5.0849338E-12
1.3921568E+0	105.35153E-12	1.3921568E+0	-43.119126E-9	4.8226783E-12	105.54058E-12	1.3921568E+0	-43.095053E-9	4.8103713E-12
1.4058824E+0	105.16980E-12	1.4058824E+0	-43.119133E-9	4.7760320E-12	105.43643E-12	1.4058824E+0	-43.098318E-9	4.6093953E-12
1.4196079E+0	105.82172E-12	1.4196079E+0	-43.119048E-9	4.6770235E-12	105.15921E-12	1.4196079E+0	-43.091546E-9	4.5226817E-12
1.4333334E+0	105.86054E-12	1.4333333E+0	-43.118341E-9	4.4550245E-12	105.25522E-12	1.4333333E+0	-43.081734E-9	4.8137080E-12
1.4470589E+0	105.50437E-12	1.4470588E+0	-43.116433E-9	4.3546564E-12	105.30939E-12	1.4470588E+0	-43.075644E-9	4.9162809E-12
1.4607843E+0	106.01122E-12	1.4607843E+0	-43.103707E-9	4.8436212E-12	105.49872E-12	1.4607843E+0	-43.077300E-9	4.5996288E-12
1.4745098E+0	106.69426E-12	1.4745098E+0	-43.093234E-9	5.2903172E-12	106.03975E-12	1.4745098E+0	-43.081073E-9	4.9282757E-12
1.4882352E+0	106.50645E-12	1.4882352E+0	-43.089610E-9	5.0218857E-12	105.39489E-12	1.4882352E+0	-43.083102E-9	4.8913981E-12
1.5019608E+0	105.86047E-12	1.5019608E+0	-43.097302E-9	4.7081276E-12	105.16066E-12	1.5019608E+0	-43.074465E-9	4.5478499E-12
1.5156863E+0	105.86219E-12	1.5156863E+0	-43.098158E-9	4.2383579E-12	105.12840E-12	1.5156863E+0	-43.061736E-9	4.8678262E-12
1.5294118E+0	105.99806E-12	1.5294118E+0	-43.092435E-9	4.8982094E-12	105.45442E-12	1.5294118E+0	-43.056264E-9	5.0687176E-12
1.5431373E+0	105.58834E-12	1.5431373E+0	-43.085560E-9	4.8555452E-12	105.58181E-12	1.5431373E+0	-43.060869E-9	4.7848483E-12
1.5568627E+0	105.38005E-12	1.5568627E+0	-43.081783E-9	4.8007058E-12	105.75159E-12	1.5568627E+0	-43.067445E-9	5.1741294E-12
1.5705882E+0	105.95293E-12	1.5705882E+0	-43.076916E-9	4.9814241E-12	105.54984E-12	1.5705882E+0	-43.064901E-9	4.8883887E-12
1.5843138E+0	105.43925E-12	1.5843138E+0	-43.080504E-9	4.9936643E-12	105.41459E-12	1.5843138E+0	-43.054900E-9	4.6555229E-12
1.5980393E+0	105.34552E-12	1.5980393E+0	-43.080075E-9	4.6260296E-12	105.28908E-12	1.5980393E+0	-43.042100E-9	4.8106488E-12
1.6117647E+0	105.61190E-12	1.6117647E+0	-43.072436E-9	4.5663217E-12	106.57265E-12	1.6117647E+0	-43.032514E-9	5.0111213E-12
1.6254902E+0	105.77961E-12	1.6254902E+0	-43.060940E-9	4.8968208E-12	106.56018E-12	1.6254902E+0	-43.040153E-9	5.0785864E-12
1.6392157E+0	105.14683E-12	1.6392157E+0	-43.060421E-9	4.4090183E-12	105.45848E-12	1.6392157E+0	-43.050591E-9	4.9022778E-12
1.6529412E+0	105.37151E-12	1.6529412E+0	-43.060695E-9	4.4857989E-12	105.25093E-12	1.6529412E+0	-43.046420E-9	4.5187239E-12
1.6666666E+0	105.60783E-12	1.6666666E+0	-43.062840E-9	4.8661934E-12	105.30270E-12	1.6666666E+0	-43.034721E-9	4.5982341E-12
1.6803921E+0	105.58902E-12	1.6803921E+0	-43.062204E-9	4.5569429E-12	105.29772E-12	1.6803921E+0	-43.026322E-9	4.7049951E-12
1.6941177E+0	106.54785E-12	1.6941177E+0	-43.049120E-9	4.7547300E-12	105.49790E-12	1.6941177E+0	-43.025043E-9	4.5928617E-12
1.7078432E+0	105.86275E-12	1.7078432E+0	-43.039663E-9	4.6909724E-12	105.64864E-12	1.7078432E+0	-43.031260E-9	4.9475003E-12
1.7215686E+0	106.08172E-12	1.7215686E+0	-43.032529E-9	4.6760777E-12	105.27302E-12	1.7215686E+0	-43.034678E-9	4.5755483E-12
1.7352941E+0	105.74844E-12	1.7352941E+0	-43.037247E-9	4.2677715E-12	105.50590E-12	1.7352941E+0	-43.026692E-9	4.6986959E-12
1.7490196E+0	105.52891E-12	1.7490196E+0	-43.043048E-9	4.3256683E-12	105.24446E-12	1.7490196E+0	-43.016847E-9	4.5654019E-12
1.7627451E+0	106.08951E-12	1.7627451E+0	-43.042430E-9	4.6856399E-12	105.42747E-12	1.7627451E+0	-43.007969E-9	4.5324087E-12
1.7764705E+0	105.67013E-12	1.7764705E+0	-43.033062E-9	4.5954828E-12	105.63247E-12	1.7764705E+0	-43.009333E-9	4.2232845E-12
1.7901961E+0	105.70159E-12	1.7901961E+0	-43.021632E-9	4.6615524E-12	105.53736E-12	1.7901961E+0	-43.017025E-9	4.7669854E-12
1.8039216E+0	105.27653E-12	1.8039216E+0	-43.019337E-9	4.3636652E-12	105.47931E-12	1.8039216E+0	-43.016392E-9	4.7617127E-12
1.8176471E+0	104.99100E-12	1.8176471E+0	-43.024503E-9	4.4617604E-12	105.96152E-12	1.8176471E+0	-43.006590E-9	4.6641610E-12
1.8313726E+0	105.33598E-12	1.8313725E+0	-43.028859E-9	4.5684893E-12	105.13420E-12	1.8313725E+0	-42.998007E-9	4.3065052E-12
1.8450980E+0	105.47495E-12	1.8450980E+0	-43.023871E-9	4.4384349E-12	105.56627E-12	1.8450980E+0	-42.990926E-9	4.5458992E-12
1.8588235E+0	105.99353E-12	1.8588235E+0	-43.008807E-9	4.4677222E-12	105.51410E-12	1.8588235E+0	-42.996440E-9	4.4100938E-12
1.8725491E+0	105.32926E-12	1.8725491E+0	-43.003084E-9	4.8896651E-12	105.41818E-12	1.8725491E+0	-43.003002E-9	4.5358895E-12
1.8862746E+0	105.00066E-12	1.8862745E+0	-43.003805E-9	4.5414237E-12	105.15317E-12	1.8862745E+0	-43.003894E-9	4.6736534E-12
1.9000000E+0	105.15143E-12	1.9000000E+0	-43.010534E-9	4.0263253E-12	105.28774E-12	1.9000000E+0	-42.992053E-9	4.6947849E-12
1.9137255E+0	105.57358E-12	1.9137255E+0	-43.012275E-9	4.2177191E-12	105.31140E-12	1.9137255E+0	-42.980467E-9	4.6849967E-12
1.9274510E+0	105.90672E-12	1.9274510E+0	-43.000988E-9	4.6870112E-12	105.43199E-12	1.9274510E+0	-42.976971E-9	4.4401141E-12
1.9411765E+0	105.94724E-12	1.9411764E+0	-42.985910E-9	4.4640424E-12	105.69840E-12	1.9411764E+0	-42.982489E-9	4.0907304E-12
1.9549019E+0	105.17798E-12	1.9549019E+0	-42.980744E-9	4.3862535E-12	105.43058E-12	1.9549019E+0	-42.988351E-9	4.3911780E-12
1.9686275E+0	104.97792E-12	1.9686275E+0	-42.984183E-9	4.5165451E-12	105.24973E-12	1.9686275E+0	-42.986603E-9	4.5356245E-12
1.9823530E+0	105.17864E-12	1.9823530E+0	-42.990980E-9	4.5013563E-12	105.02522E-12	1.9823530E+0	-42.975838E-9	4.6837803E-12
1.9960785E+0	105.44105E-12	1.9960784E+0	-42.992745E-9	4.8792953E-12	105.17701E-12	1.9960784E+0	-42.963741E-9	4.6839472E-12
2.0098038E+0	105.48533E-12	2.0098040E+0	-42.984507E-9	4.5637777E-12	105.54003E-12	2.0098040E+0	-42.959549E-9	4.5347810E-12
2.0235295E+0	105.60775E-12	2.0235295E+0	-42.970957E-9	4.5432633E-12	105.91836E-12	2.0235295E+0	-42.965510E-9	4.5262947E-12
2.0372548E+0	105.63594E-12	2.0372548E+0	-42.960949E-9	4.6703010E-12	105.33745E-12	2.0372548E+0	-42.973156E-9	4.6580058E-12
2.0509806E+0	105.29683E-12	2.0509803E+0	-42.961112E-9	4.5791921E-12	105.00898E-12	2.0509803E+0	-42.968768E-9	4.7209727E-12
2.0647058E+0	105.29780E-12	2.0647058E+0	-42.966864E-9	4.9095337E-12	105.07497E-12	2.0647058E+0	-42.954554E-9	4.8507743E-12
2.0784314E+0	106.53337E-12	2.0784314E+0	-42.963098E-9	5.4937591E-12	105.39258E-12	2.0784314E+0	-42.941227E-9	5.3491126E-12
2.0921569E+0	106.62319E-12	2.0921569E+0	-42.949647E-9	5.2070587E-12	105.53291E-12	2.0921569E+0	-42.942354E-9	5.4253199E-12
2.1058824E+0	105.73221E-12	2.1058824E+0	-42.943316E-9	5.1891191E-12	105.62944E-12	2.1058824E+0	-42.948596E-9	5.1688536E-12
2.1196079E+0	105.15275E-12	2.1196079E+0	-42.938201E-9	5.7814517E-12	105.61690E-12	2.1196079E+0	-42.950941E-9	5.2397297E-12
2.1333332E+0	105.17433E-12	2.1333334E+0	-42.940911E-9	5.4371754E-12	105.18985E-12	2.1333334E+0	-42.941490E-9	5.4835533E-12
2.1470590E+0	105.36363E-12	2.1470587E+0	-42.945018E-9	5.6702074E-12	105.71923E-12	2.1470587E+0	-42.922956E-9	5.6567893E-12
2.1607842E+0	105.63646E-12	2.1607842E+0	-42.939288E-9	5.9950131E-12	105.41776E-12	2.1607842E+0	-42.916799E-9	6.1514236E-12
2.1745098E+0	105.79702E-12	2.1745098E+0	-42.921990E-9	6.2717127E-12	106.21984E-12	2.1745098E+0	-42.912365E-9	6.3662717E-12
2.1882353E+0	105.43308E-12	2.1882353E+0	-42.908354E-9	6.2961450E-12	106.57409E-12	2.1882353E+0	-42.917243E-9	6.2726456E-12
2.2019608E+0	105.00456E-12	2.2019608E+0	-42.904240E-9	6.6166838E-12	106.09934E-12	2.2019608E+0	-42.918831E-9	6.8073503E-12
2.2156863E+0	105.33979E-12	2.2156863E+0	-42.907583E-9	6.7137550E-12	105.38662E-12	2.2156863E+0	-42.908550E-9	6.4552352E-12
2.2294116E+0	105.49025E-12	2.2294118E+0	-42.911051E-9	6.1375180E-12	105.62336E-12	2.2294118E+0	-42.889909E-9	6.9444125E-12
2.2431374E+0	105.84893E-12	2.2431374E+0	-42.899163E-9	6.9341052E-12	105.58675E-12	2.2431374E+0	-42.881499E-9	7.2753943E-12
2.2568626E+0	105.99059E-12	2.2568626E+0	-42.880757E-9	7.5077748E-12	105.53278E-12	2.2568626E+0	-42.880881E-9	7.3756201E-12
2.2705884E+0	105.90891E-12	2.2705882E+0	-42.862773E-9	7.9465705E-12	105.63138E-12	2.2705882E+0	-42.883794E-9	7.9569320E-12
2.2843137E+0	105.29812E-12	2.2843137E+0	-42.861060E-9	8.0809517E-12	105.25239E-12	2.2843137E+0	-42.880316E-9	8.1656747E-12
2.2980392E+0	105.20444E-12	2.2980392E+0	-42.860059E-9	8.0238724E-12	105.41805E-12	2.2980392E+0	-42.861625E-9	8.1385038E-12
2.3117647E+0	105.65400E-12	2.3117647E+0	-42.856126E-9	8.2571172E-12	105.60502E-12	2.3117647E+0	-42.844370E-9	8.7364170E-12
2.3254902E+0	105.98483E-12	2.3254902E+0	-42.840959E-9	8.4400559E-12	105.61454E-12	2.3254902E+0	-42.831072E-9	8.7877162E-12
2.3392158E+0	105.63752E-12	2.3392158E+0	-42.826017E-9	9.1886273E-12	105.75940E-12	2.3392158E+0	-42.831136E-9	9.0012641E-12
2.3529410E+0	105.25513E-12	2.3529413E+0	-42.809976E-9	9.3769263E-12	105.41203E-12	2.3529413E+0	-42.831214E-9	9.3550723E-12
2.3666668E+0	105.14593E-12	2.3666666E+0	-42.802945E-9	9.5969925E-12	105.15480E-12	2.3666666E+0	-42.822247E-9	9.3545909E-12
2.3803921E+0	105.14314E-12	2.3803921E+0	-42.800149E-9	9.5976994E-12	105.22284E-12	2.3803921E+0	-42.800743E-9	9.7440380E-12
2.3941178E+0	105.51169E-12	2.3941176E+0	-42.791392E-9	10.121174E-12	105.16366E-12	2.3941176E+0	-42.780474E-9	10.304573E-12
2.4078431E+0	105.72748E-12	2.4078431E+0	-42.773102E-9	10.386421E-12	105.43359E-12	2.4078431E+0	-42.767102E-9	10.520686E-12
